classification,acceleration,sprint_speed,agility,balance,reactions,ball_control,composure,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick,short_pass,long_pass,pass_curve,interceptions,heading,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression
strong_defensive_minded,57.11632571199358,58.38588046530285,52.8892900120337,55.3012434817489,58.30204572803851,51.09025270758123,54.75932611311673,33.37063778580024,27.305254713196952,44.018852787805855,29.506217408744483,28.599679101484156,38.15202567188127,38.680705976734856,38.67388688327316,30.592860008022463,54.019655034095464,47.80425190533494,32.17488969113518,61.63337344564781,61.786602486963496,62.25792218210991,65.103088648215,62.746089049338146,67.99759326113117,62.95948656237465,73.67308463698356,64.11953469715202
technical_finishing_attackers,75.26418711656441,74.56096625766871,76.1407208588957,72.75153374233129,67.78872699386503,72.24271472392638,67.73121165644172,69.52684049079754,67.83780674846626,70.9601226993865,66.58052147239263,63.27799079754601,64.1388036809816,66.80138036809817,64.04907975460122,60.16947852760736,68.5885736196319,60.44516871165644,65.86081288343559,36.793328220858896,57.0,38.52032208588957,35.73504601226994,32.125,66.21970858895706,68.99194785276073,63.479294478527606,56.489263803680984
all_rounders_passers,68.39983579638752,67.89778325123153,70.38013136288998,69.69047619047619,70.48727422003284,72.22372742200328,69.70730706075534,64.1876026272578,56.63013136288998,71.01806239737274,65.42446633825944,55.79392446633826,58.69047619047619,67.78448275862068,66.94006568144499,60.697454844006565,72.92857142857143,69.55870279146141,65.38218390804597,68.47536945812809,60.45607553366174,65.9371921182266,68.93267651888341,65.9991789819376,68.82840722495895,76.18267651888341,69.47906403940887,71.29064039408867
def_ball_winners,67.4867740080506,67.75876940770557,66.55807935595169,67.04485336400231,61.789246693502015,62.58941920644048,59.271995399654976,51.50373778033352,41.913743530764805,56.28665899942496,47.357676825761935,39.8588269120184,46.122771707878094,54.424381828637145,56.135422656699255,43.45284646348476,63.986198964922366,59.351638872915466,48.79327199539966,61.721104082806214,56.347613571017824,60.85681426106958,63.885278895917196,61.9568717653824,67.86170212765957,71.06181713628523,67.04887866589995,64.7857964347326
aerial_ball_skiller,71.27946127946127,71.450430228208,68.94575383464273,67.81556303778525,56.287691732136174,61.29928918817808,54.99027310138421,58.57650579872802,58.75233819678264,60.12719790497568,52.69547325102881,50.23718668163112,55.7003367003367,53.205761316872426,48.02469135802469,41.20389075944632,56.61803217358773,46.10549943883277,48.19117096894875,25.8129442573887,52.02020202020202,31.327721661054994,27.238309016086795,25.659184436962214,62.589599700710814,60.80808080808081,60.9221848110737,45.42237186681631
