,pc1,pc2
0,-8.561782776305488,-5.71874239708084
1,-8.078007176057293,-3.3427517841047925
2,-8.715067495479811,-1.7074155299771883
3,-8.12897963856565,-1.878469433832475
4,-6.632036577844781,3.5302371387593183
5,-8.657356053905895,-1.645167097272728
6,-7.722280601833198,-5.404605981125462
7,10.616307583551654,-1.8226794091442509
8,-7.757037951615402,-4.849666918877065
9,-7.2762879937387535,-2.4650120909126847
10,10.912327552474828,-1.069626119309168
11,12.040773548093053,-1.0672215847438296
12,-7.621033442876476,-0.3422695491139498
13,-4.255717636952348,5.246124011176636
14,11.839299165656609,-1.155065692246014
15,-3.164719638821314,5.638291605248975
16,-7.421658949538695,-5.115415328303926
17,-7.249505920168564,-4.829447395962972
18,-7.137252710523686,-3.40646122821917
19,11.957831354144423,-0.7707346287323437
20,-5.472954371188146,4.125507793030906
21,-7.191360156214871,-1.2443133292814004
22,-7.244641087555727,-2.073859867853707
23,-7.125806740653646,-1.238941537462621
24,-8.104070007305094,-2.9301521554515766
25,-8.071155146020011,0.793380908989928
26,-5.378618929018092,3.559872673162469
27,-7.609222996792867,-4.233137093417687
28,-7.154973005810604,1.8001822241744614
29,-7.554712486924878,-2.7286416358206202
30,-7.466098549518987,-3.2644202832918077
31,-7.374553981195806,-2.916664256441458
32,11.386357481846746,-1.9039032319254081
33,-8.263553282611912,1.1665501444831055
34,-6.372169045104298,3.7391763646410694
35,-8.35223167279513,-1.4759354285585928
36,-6.973265237134362,-6.0277942296048295
37,-5.69615122781091,3.4991621775897412
38,11.788518419293533,-1.153592671363603
39,-7.783937507084535,-2.982723949978222
40,-5.8785362135147885,-1.2260991372375047
41,-7.315887199347257,-0.3735709198872004
42,-4.1455350303571015,4.552851409157229
43,-6.229534135853774,3.1300665569809074
44,-7.775923667441899,0.08801221351110937
45,-5.544166787976748,3.921475198512679
46,11.518800071182245,-1.7875089325469957
47,-5.2468478244703185,-2.926940839796988
48,-0.7597155560082146,7.213383797558986
49,-6.992224506980523,-5.549642940778838
50,-7.373881657664614,-0.12541493878088758
51,-7.258282757563818,-3.5936528621274393
52,12.367544919316364,-0.7159272785386761
53,-5.254907576618274,-2.726573257616888
54,-2.5272908632284175,5.954355833360184
55,-7.227929993671144,1.855176817683017
56,-4.8426381999171495,4.367801832488384
57,-7.315030428943824,-4.155015703591053
58,-7.449033714876195,-0.1961122977494718
59,-5.945087520165029,3.4383106481749404
60,-7.07596515060716,1.581595316720696
61,-4.071698433236848,4.452511792974878
62,10.573700135180918,-2.0020692168144363
63,-6.795786290165925,-3.687027343927853
64,-4.335065110550332,4.851528657777716
65,-6.636056711093841,-1.7528272234328164
66,-7.616442294109579,-1.6397131826418592
67,-7.569127135715763,-1.1241062375205186
68,-7.063723116600124,-3.357008138045383
69,-6.247991041135899,-3.1818292879004453
70,-3.744161529568112,4.723361739450892
71,-7.157336023929705,0.10061038548093197
72,-5.426572090863142,-2.059530071013823
73,-7.508555579842378,-0.6209162933233792
74,-4.184891974933738,4.2530173676822
75,-6.73650621692544,-0.01964547413843879
76,-6.56389958549571,-2.082914926287285
77,-6.385252523126077,2.8366802216960476
78,-7.137585262837393,1.9607909448265886
79,-7.29916868841077,-3.974446273427043
80,-6.056470159039244,-4.004494343091183
81,-3.6907270599854414,4.845819204827632
